image_name,caption
"/content/dataset/a blue and orange colored liquid is shown, abstract, blue, orange, gray, a blue and orange abstract painting background, a mixture of blue and orange liquid, Product.jpg","a blue and orange colored liquid is shown, abstract, blue, orange, gray, a blue and orange abstract painting background, a mixture of blue and orange liquid, Product"
"/content/dataset/a bottle of green gin on a green background, green, green, white, black, green background, glass, Product.jpg","a bottle of green gin on a green background, green, green, white, black, green background, glass, Product"
"/content/dataset/a bottle of green perfume surrounded by green apples, green, green, yellow, white, green olives background, glass, Product.jpg","a bottle of green perfume surrounded by green apples, green, green, yellow, white, green olives background, glass, Product"
"/content/dataset/a bottle of liquid splashing on a beige background, abstract, beige, white, brown, a splash of water background, plastic, Product.jpg","a bottle of liquid splashing on a beige background, abstract, beige, white, brown, a splash of water background, plastic, Product"
"/content/dataset/a bottle of perfume sitting on a marble floor, warm, green, white, black, the bottle is on a marble floor background, wood, Product.jpg","a bottle of perfume sitting on a marble floor, warm, green, white, black, the bottle is on a marble floor background, wood, Product"
"/content/dataset/a bottle of perfume with a black cap and yellow label, a bottle of perfume, yellow, black, white, a white background with a yellow bottle background, glass, Product.jpg","a bottle of perfume with a black cap and yellow label, a bottle of perfume, yellow, black, white, a white background with a yellow bottle background, glass, Product"
"/content/dataset/a bottle of skin care product on a black surface, dark, black, white, silver, black and white background, glass, Product.jpg","a bottle of skin care product on a black surface, dark, black, white, silver, black and white background, glass, Product"
"/content/dataset/a bottle of whiskey with a knife on it, dark, black, white, silver, a dark background with a bottle of whiskey background, metal, Product.jpg","a bottle of whiskey with a knife on it, dark, black, white, silver, a dark background with a bottle of whiskey background, metal, Product"
"/content/dataset/a bowl of oranges and a jar of cream, natural, green, orange, white, white background, wood, Product.jpg","a bowl of oranges and a jar of cream, natural, green, orange, white, white background, wood, Product"
"/content/dataset/a colorful abstract image of a glass object, abstract, blue, green, purple, pink, white, black, a colorful abstract background background, glass, Product.jpg","a colorful abstract image of a glass object, abstract, blue, green, purple, pink, white, black, a colorful abstract background background, glass, Product"
"/content/dataset/three bottles of gin with different labels, neutral, purple, yellow, white, white background, glass, Product.jpg","three bottles of gin with different labels, neutral, purple, yellow, white, white background, glass, Product"
"/content/dataset/two bottles of gin in the middle of a jungle, a lush forest, green, blue, white, black, green plants and flowers background, glass, Product.jpg","two bottles of gin in the middle of a jungle, a lush forest, green, blue, white, black, green plants and flowers background, glass, Product"
